CO;DF;BRASILIA;ABRITTA POSTOS DE SERVIÇOS LTDA;1,07E+13;DIESEL;16/01/2019;3,799;3,2166;R$ / litro;RAIZEN
CO;DF;BRASILIA;ABRITTA POSTOS DE SERVIÇOS LTDA;1,07E+13;DIESEL;16/01/2019;3,799;3,2166;R$ / litro;RAIZEN
CO;DF;BRASILIA;ABRITTA POSTOS DE SERVIÇOS LTDA;1,07E+13;DIESEL;23/01/2019;3,799;;R$ / litro;RAIZEN
CO;DF;BRASILIA;ABRITTA POSTOS DE SERVIÇOS LTDA;1,07E+13;DIESEL S10;16/01/2019;3,899;3,2638;R$ / litro;RAIZEN
CO;DF;BRASILIA;ABRITTA POSTOS DE SERVIÇOS LTDA;1,07E+13;DIESEL S10;23/01/2019;3,899;;R$ / litro;RAIZEN
CO;DF;BRASILIA;ABRITTA POSTOS DE SERVIÇOS LTDA;1,07E+13;ETANOL;16/01/2019;3,299;2,9999;R$ / litro;RAIZEN
CO;DF;BRASILIA;ABRITTA POSTOS DE SERVIÇOS LTDA;1,07E+13;ETANOL;23/01/2019;3,299;2,9999;R$ / litro;RAIZEN
CO;DF;BRASILIA;ABRITTA POSTOS DE SERVIÇOS LTDA;1,07E+13;GASOLINA;16/01/2019;4,299;3,6745;R$ / litro;RAIZEN
CO;DF;BRASILIA;ABRITTA POSTOS DE SERVIÇOS LTDA;1,07E+13;GASOLINA;23/01/2019;4,299;3,6745;R$ / litro;RAIZEN
CO;DF;BRASILIA;AGUAS CLARAS POSTO DE SERVICOS LTDA;6,01E+12;DIESEL;16/01/2019;3,799;3;R$ / litro;BRANCA
CO;DF;BRASILIA;AGUAS CLARAS POSTO DE SERVICOS LTDA;6,01E+12;DIESEL;23/01/2019;3,799;3;R$ / litro;BRANCA
CO;DF;BRASILIA;AGUAS CLARAS POSTO DE SERVICOS LTDA;6,01E+12;DIESEL S10;16/01/2019;3,899;3,12;R$ / litro;BRANCA
CO;DF;BRASILIA;AGUAS CLARAS POSTO DE SERVICOS LTDA;6,01E+12;DIESEL S10;23/01/2019;3,899;3,12;R$ / litro;BRANCA
CO;DF;BRASILIA;AGUAS CLARAS POSTO DE SERVICOS LTDA;6,01E+12;ETANOL;16/01/2019;3,195;2,84;R$ / litro;BRANCA
CO;DF;BRASILIA;AGUAS CLARAS POSTO DE SERVICOS LTDA;6,01E+12;ETANOL;23/01/2019;3,195;2,84;R$ / litro;BRANCA
CO;DF;BRASILIA;AGUAS CLARAS POSTO DE SERVICOS LTDA;6,01E+12;GASOLINA;16/01/2019;4,197;3,61;R$ / litro;BRANCA
CO;DF;BRASILIA;AGUAS CLARAS POSTO DE SERVICOS LTDA;6,01E+12;GASOLINA;23/01/2019;4,197;3,61;R$ / litro;BRANCA
CO;DF;BRASILIA;AM COMERCIAL DE COMBUSTIVEIS LTDA;8,22E+12;DIESEL S10;08/01/2019;3,767;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;AM COMERCIAL DE COMBUSTIVEIS LTDA;8,22E+12;DIESEL S10;11/02/2019;3,76;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;AM COMERCIAL DE COMBUSTIVEIS LTDA;8,22E+12;DIESEL S10;23/01/2019;3,767;3,2434;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;AM COMERCIAL DE COMBUSTIVEIS LTDA;8,22E+12;ETANOL;08/01/2019;3,197;2,8741;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;AM COMERCIAL DE COMBUSTIVEIS LTDA;8,22E+12;ETANOL;11/02/2019;2,997;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;AM COMERCIAL DE COMBUSTIVEIS LTDA;8,22E+12;ETANOL;23/01/2019;3,197;2,9416;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;AM COMERCIAL DE COMBUSTIVEIS LTDA;8,22E+12;GASOLINA;08/01/2019;4,187;3,735;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;AM COMERCIAL DE COMBUSTIVEIS LTDA;8,22E+12;GASOLINA;11/02/2019;3,987;3,6588;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;AM COMERCIAL DE COMBUSTIVEIS LTDA;8,22E+12;GASOLINA;23/01/2019;4,197;3,7665;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;AMORIM COMERCIO DE DERIVADOS DE PETROLEO LTDA;3,80E+13;GASOLINA;02/01/2019;4,499;;R$ / litro;IPIRANGA
CO;DF;BRASILIA;AMORIM COMERCIO DE DERIVADOS DE PETROLEO LTDA;3,80E+13;GASOLINA;29/01/2019;3,999;;R$ / litro;IPIRANGA
CO;DF;BRASILIA;AUTO EIXO 208 NORTE LTDA.;7,74E+12;ETANOL;20/02/2019;2,99;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;AUTO EIXO 208 NORTE LTDA.;7,74E+12;GASOLINA;20/02/2019;3,859;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;AUTO POSTO 109 NORTE LTDA.;5,85E+12;DIESEL S10;08/01/2019;3,809;;R$ / litro;RAIZEN
CO;DF;BRASILIA;AUTO POSTO 109 NORTE LTDA.;5,85E+12;DIESEL S10;11/02/2019;3,69;3,27;R$ / litro;RAIZEN
